epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.6132684588432312,0.725443533807993,0.6094134904444217,0.680940818786621,0.8974761366844177,0.8143776774406433
2,0.5275330305099487,0.9231683313846588,0.8584739118814468,0.5424336194992065,0.9309081792831421,0.870975136756897
3,0.4823192566633224,0.950950974225998,0.9071853131055831,0.4627863705158234,0.9407043576240539,0.8882602572441101
4,0.4339327558875084,0.9695856183767319,0.9414321273565293,0.40397961139678956,0.9518172383308411,0.9082633137702942
5,0.39950250685214994,0.9759174466133118,0.9531990647315979,0.3930524468421936,0.9863033652305603,0.9729917287826538
6,0.3674594983458519,0.9837644129991532,0.9681907892227173,0.35542522072792054,0.9870141863822937,0.9743953585624695
7,0.33604704439640043,0.9872336894273758,0.9748583257198333,0.32282565236091615,0.9891706585884095,0.9786003470420838
8,0.3069432131946087,0.9890007466077805,0.9782986909151077,0.29812453389167787,0.9851615786552429,0.9707981467247009
9,0.27750471606850624,0.9905827403068542,0.9813863724470139,0.2795161843299866,0.9911574244499206,0.9824894070625305
10,0.24996594116091728,0.9909130215644837,0.9820295155048371,0.24876156747341155,0.9895553350448608,0.9793493986129761
11,0.2238105960190296,0.9928996980190277,0.9859241664409637,0.2251502424478531,0.9954562187194824,0.990956437587738
12,0.19900427758693695,0.9940185278654099,0.988117179274559,0.19863002002239227,0.9960813164710999,0.9921956181526184
13,0.17592862732708453,0.9947324693202972,0.9895281523466111,0.17343262135982512,0.9956940412521362,0.9914280772209167
14,0.1549162644892931,0.9948964357376099,0.9898534297943116,0.15473926365375518,0.9944825410842896,0.9890323758125306
15,0.13790014535188674,0.9938386648893356,0.9877775877714157,0.14637041985988616,0.9954614520072937,0.9909672617912293
16,0.1206083357334137,0.9948602616786957,0.9897846281528473,0.11813818216323853,0.9958041787147522,0.9916453003883362
17,0.10594068802893161,0.9950244843959808,0.9901049464941025,0.1031827136874199,0.996095073223114,0.9922225952148438
18,0.09254379589110613,0.9952437311410904,0.9905401229858398,0.09996445029973984,0.9951554894447326,0.9903618216514587
19,0.08140006046742201,0.9958345830440521,0.9917085081338882,0.07874303460121154,0.9961828112602233,0.992397141456604
20,0.07161703202873468,0.9950658172369004,0.9901884704828262,0.07333834022283554,0.9956791996955872,0.9913990736007691
